what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852318607
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852323596
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852345193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852405609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852408219
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1309852424757
error,log,,,"Unhandled event loop exception",1309852509732
error,log,,,"Failed to load properties file for project 'Roguelike'",1309852512106
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852512172
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309852513713
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309852517875
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309852517904
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309852530194
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852539180
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852542957
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1309852542967
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309852546192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852551535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852567840
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1309852567845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852567880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852570239
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309852590327
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309852592864
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309852594151
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1309852611057
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309852612171
closed,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1309852612171
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309852612777
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309852613328
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309852613328
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309852617852
opened,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1309852618256
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1309852618304
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309852621547
closed,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1309852621547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309852622770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853266079
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853269867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853272780
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1309853273467
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309853273521
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853277920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853280866
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309853282499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853293022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853296153
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309853297954
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1309853366918
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1309853372738
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853372782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853374992
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1309853385786
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1309853396919
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1309853396933
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1309853398279
closed,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1309853398281
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1309853399059
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1309853399068
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1309853399968
closed,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1309853399971
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309853400660
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309853401440
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309853402647
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309853408042
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1309853413023
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309853422796
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1309853427908
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309853440499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853454799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853467265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.savePerspective",1309853467279
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853473454
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853485318
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853488631
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853490454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853493245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853497728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853500636
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853552811
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853554100
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853626262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853646654
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853655849
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853664076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853851452
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309853851468
opened,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309853855915
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309853855953
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309853865671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853869228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853888864
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309853888880
opened,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309853890760
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309853890791
started,bundle,org.eclipse.draw2d,3.6.2.v20110128-0100,"org.eclipse.draw2d",1309853897968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309853930942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1309853990639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1309853991232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854011604
error,log,,,"Unhandled event loop exception",1309854020516
error,log,,,"Unhandled event loop exception",1309854020591
error,log,,,"Unhandled event loop exception",1309854020593
error,log,,,"Unhandled event loop exception",1309854020595
error,log,,,"Unhandled event loop exception",1309854020597
error,log,,,"Unhandled event loop exception",1309854021024
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309854027648
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854028456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854030869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854034865
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309854035047
closed,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854035047
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309854036991
opened,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854037344
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854037431
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309854040682
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854041726
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309854045194
closed,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854046734
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309854047576
closed,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309854047576
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309854049566
opened,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854052941
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854053003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854065200
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854073324
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309854080364
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854088362
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1309854095914
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854096891
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854126991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854142792
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309854146389
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309854219016
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309854289173
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1309854296732
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854307485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854313756
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309854325455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854325606
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854328023
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854330347
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309854336498
activated,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.layout.LayoutEditor",1309854341515
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1309854345397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854345532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854348061
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1309854354232
opened,editor,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1309854368580
